"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"上午 01:10:12.2816758","Akagi64.exe","6696","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ShowSuperHidden","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"上午 01:10:12.2817008","Akagi64.exe","6696","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\SeparateProcess","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"上午 01:10:12.2817321","Akagi64.exe","6696","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\NoNetCrawling","NAME NOT FOUND","Length: 16"
"上午 01:10:12.2817596","Akagi64.exe","6696","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\AutoCheckSelect","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"上午 01:10:12.2817852","Akagi64.exe","6696","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\IconsOnly","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"上午 01:10:12.2818340","Akagi64.exe","6696","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ShowTypeOverlay","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"上午 01:10:12.2818582","Akagi64.exe","6696","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\ShowStatusBar","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"上午 01:10:12.2818803","Akagi64.exe","6696","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced","SUCCESS",""
"上午 01:10:12.2819913","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"上午 01:10:12.2820140","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2820293","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2820482","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\.exe","NAME NOT FOUND","Desired Access: Read"
"上午 01:10:12.2820724","Akagi64.exe","6696","RegOpenKey","HKCR\.exe","SUCCESS","Desired Access: Read"
"上午 01:10:12.2821022","Akagi64.exe","6696","RegQueryKey","HKCR\.exe","SUCCESS","Query: Name"
"上午 01:10:12.2821232","Akagi64.exe","6696","RegQueryKey","HKCR\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2821514","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\.exe","NAME NOT FOUND","Desired Access: Maximum Allowed"
"上午 01:10:12.2821708","Akagi64.exe","6696","RegQueryValue","HKCR\.exe\(Default)","SUCCESS","Type: REG_SZ, Length: 16, Data: exefile"
"上午 01:10:12.2821998","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"上午 01:10:12.2822202","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2822689","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
